filename,year,month,day,buurt,change_flag,seq_index,seq_index_old,degree,direction
ATM_square_equirectangular_boom/Calandlaan-Lelylaan/lon_480236811126323_lat_52355494707998865_radius_1_d0_l/20160808TMX7316010203-000050pano_0000_006649_4.80236137436869_52.3554961946803.jpg,2016,8,8,Calandlaan-Lelylaan,0,lon_480236811126323_lat_52355494707998865_radius_1_d0_l,lon_480236811126323_lat_52355494707998865_radius_1,0,l
ATM_square_equirectangular_boom/Calandlaan-Lelylaan/lon_480236811126323_lat_52355494707998865_radius_1_d0_l/20190717TMX7316010203-001317pano_0000_001853_4.80236732903024_52.3554903287271.jpg,2019,7,17,Calandlaan-Lelylaan,1,lon_480236811126323_lat_52355494707998865_radius_1_d0_l,lon_480236811126323_lat_52355494707998865_radius_1,0,l
ATM_square_equirectangular_boom/Calandlaan-Lelylaan/lon_480236811126323_lat_52355494707998865_radius_1_d0_l/20191217TMX7316010203-001517pano_0001_000400_4.80237563039076_52.3554976005892.jpg,2019,12,17,Calandlaan-Lelylaan,0,lon_480236811126323_lat_52355494707998865_radius_1_d0_l,lon_480236811126323_lat_52355494707998865_radius_1,0,l
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941314041287337_lat_5235858061719037_radius_1_d0_b/20160511TMX7315120208-000047pano_0000_000101_4.94131433463565_52.3585847523284.jpg,2016,5,11,Zuidoostkwadrant_Indische_buurt,0,lon_4941314041287337_lat_5235858061719037_radius_1_d0_b,lon_4941314041287337_lat_5235858061719037_radius_1,0,b
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941314041287337_lat_5235858061719037_radius_1_d0_b/20180524TMX7316010203-000748pano_0000_001998_4.94131918024001_52.3585793938071.jpg,2018,5,24,Zuidoostkwadrant_Indische_buurt,0,lon_4941314041287337_lat_5235858061719037_radius_1_d0_b,lon_4941314041287337_lat_5235858061719037_radius_1,0,b
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941314041287337_lat_5235858061719037_radius_1_d0_b/20181211TMX7316010203-001008pano_0006_000141_4.94132117264619_52.3585799190443.jpg,2018,12,11,Zuidoostkwadrant_Indische_buurt,0,lon_4941314041287337_lat_5235858061719037_radius_1_d0_b,lon_4941314041287337_lat_5235858061719037_radius_1,0,b
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941314041287337_lat_5235858061719037_radius_1_d0_b/20200908TMX7316010203-001910pano_0000_001026_4.94130453425467_52.3585804278238.jpg,2020,9,8,Zuidoostkwadrant_Indische_buurt,0,lon_4941314041287337_lat_5235858061719037_radius_1_d0_b,lon_4941314041287337_lat_5235858061719037_radius_1,0,b
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941314041287337_lat_5235858061719037_radius_1_d0_b/20220112TMX7316010203-002416pano_0011_000076_4.94132580509332_52.3585810308195.jpg,2022,1,12,Zuidoostkwadrant_Indische_buurt,0,lon_4941314041287337_lat_5235858061719037_radius_1_d0_b,lon_4941314041287337_lat_5235858061719037_radius_1,0,b
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941314041287337_lat_5235858061719037_radius_1_d0_b/20220613TMX7316010203-002593pano_0000_002534_4.94131651932386_52.3585771292235.jpg,2022,6,13,Zuidoostkwadrant_Indische_buurt,1,lon_4941314041287337_lat_5235858061719037_radius_1_d0_b,lon_4941314041287337_lat_5235858061719037_radius_1,0,b
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941490345788773_lat_5235856962107115_radius_1_d0_l/20190603TMX7316010203-001209pano_0000_002641_4.94148742950121_52.3585732425124.jpg,2019,6,3,Zuidoostkwadrant_Indische_buurt,0,lon_4941490345788773_lat_5235856962107115_radius_1_d0_l,lon_4941490345788773_lat_5235856962107115_radius_1,0,l
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941490345788773_lat_5235856962107115_radius_1_d0_l/20200908TMX7316010203-001910pano_0000_001024_4.94149153563268_52.3585705716907.jpg,2020,9,8,Zuidoostkwadrant_Indische_buurt,0,lon_4941490345788773_lat_5235856962107115_radius_1_d0_l,lon_4941490345788773_lat_5235856962107115_radius_1,0,l
ATM_square_equirectangular_boom/Zuidoostkwadrant_Indische_buurt/lon_4941490345788773_lat_5235856962107115_radius_1_d0_l/20210528TMX7316010203-002140pano_0000_002995_4.94149129118863_52.3585687001526.jpg,2021,5,28,Zuidoostkwadrant_Indische_buurt,0,lon_4941490345788773_lat_5235856962107115_radius_1_d0_l,lon_4941490345788773_lat_5235856962107115_radius_1,0,l
