filename,year,month,day,buurt,change_flag,seq_index,seq_index_old,degree,direction
ATM_square_equirectangular/Osdorper_Bovenpolder/lon_4786110579960817_lat_5236548577730833_radius_1_d0_l/20160815TMX7316060226-000020pano_0008_001872_4.78610279254309_52.3654834017834.jpg,2016,8,15,Osdorper_Bovenpolder,0,lon_4786110579960817_lat_5236548577730833_radius_1_d0_l,lon_4786110579960817_lat_5236548577730833_radius_1,0,l
ATM_square_equirectangular/Osdorper_Bovenpolder/lon_4786110579960817_lat_5236548577730833_radius_1_d0_l/20180702TMX7316010203-000818pano_0001_000514_4.78611045572576_52.3654881335446.jpg,2018,7,2,Osdorper_Bovenpolder,0,lon_4786110579960817_lat_5236548577730833_radius_1_d0_l,lon_4786110579960817_lat_5236548577730833_radius_1,0,l
ATM_square_equirectangular/Osdorper_Bovenpolder/lon_4786110579960817_lat_5236548577730833_radius_1_d0_l/20190102TMX7316010203-001033pano_0011_000135_4.7861184916136_52.365485796597.jpg,2019,1,2,Osdorper_Bovenpolder,1,lon_4786110579960817_lat_5236548577730833_radius_1_d0_l,lon_4786110579960817_lat_5236548577730833_radius_1,0,l
ATM_square_equirectangular/Osdorper_Bovenpolder/lon_4785912138551406_lat_5236520508185237_radius_1_d0_f/20160815TMX7316060226-000020pano_0008_001865_4.78591893701678_52.365203129762.jpg,2016,8,15,Osdorper_Bovenpolder,0,lon_4785912138551406_lat_5236520508185237_radius_1_d0_f,lon_4785912138551406_lat_5236520508185237_radius_1,0,f
ATM_square_equirectangular/Osdorper_Bovenpolder/lon_4785912138551406_lat_5236520508185237_radius_1_d0_f/20180702TMX7316010203-000818pano_0001_000521_4.785913128661_52.3652055683168.jpg,2018,7,2,Osdorper_Bovenpolder,0,lon_4785912138551406_lat_5236520508185237_radius_1_d0_f,lon_4785912138551406_lat_5236520508185237_radius_1,0,f
ATM_square_equirectangular/Osdorper_Bovenpolder/lon_4785912138551406_lat_5236520508185237_radius_1_d0_f/20190102TMX7316010203-001033pano_0011_000142_4.78590347692488_52.3652025923129.jpg,2019,1,2,Osdorper_Bovenpolder,1,lon_4785912138551406_lat_5236520508185237_radius_1_d0_f,lon_4785912138551406_lat_5236520508185237_radius_1,0,f
ATM_square_equirectangular/Osdorper_Bovenpolder/lon_4785912138551406_lat_5236520508185237_radius_1_d0_f/20210408TMX7316010203-002082pano_0001_001304_4.78591301160296_52.3652090370178.jpg,2021,4,8,Osdorper_Bovenpolder,0,lon_4785912138551406_lat_5236520508185237_radius_1_d0_f,lon_4785912138551406_lat_5236520508185237_radius_1,0,f
ATM_square_equirectangular/Twiske_West/lon_4893173456681803_lat_52419906543810136_radius_1_d100_f/20160818TMX7316060226-000031pano_0003_000640_4.89317706197327_52.4199072857744.jpg,2016,8,18,Twiske_West,0,lon_4893173456681803_lat_52419906543810136_radius_1_d100_f,lon_4893173456681803_lat_52419906543810136_radius_1,100,f
ATM_square_equirectangular/Twiske_West/lon_4893173456681803_lat_52419906543810136_radius_1_d100_f/20170529TMX7316010203-000315pano_0000_001559_4.8931690262783_52.4198993471131.jpg,2017,5,29,Twiske_West,0,lon_4893173456681803_lat_52419906543810136_radius_1_d100_f,lon_4893173456681803_lat_52419906543810136_radius_1,100,f
ATM_square_equirectangular/Twiske_West/lon_4893173456681803_lat_52419906543810136_radius_1_d100_f/20180801TMX7316010203-000893pano_0000_004935_4.8931789552353_52.4199031491912.jpg,2018,8,1,Twiske_West,0,lon_4893173456681803_lat_52419906543810136_radius_1_d100_f,lon_4893173456681803_lat_52419906543810136_radius_1,100,f
